name_c,price_c,adress_c,url_image_c
Chiots,150 000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5782568_uploaded_image1_1771523397.jpg
Berger Belge Malinois,250 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5777856_uploaded_image1_1771313983.jpg
Chien,100 000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5769939_uploaded_image1_1770828331.jpg
Chiot Bouledogues français,Prix sur demande,"Point E, Dakar, Sénégal",https://images.coinafrique.com/thumb_5757166_uploaded_image1_1770160169.jpg
Chiots Berger Allemand ,150 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5751732_uploaded_image1_1769889114.jpg
Chiots Berger Allemand ,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5735854_uploaded_image1_1769103978.jpg
Chiots Samoyède,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5735842_uploaded_image1_1769103800.jpg
Chiots,325 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5735305_uploaded_image1_1769086998.jpg
Chiot Husky femelle + 10kg ,350 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5729912_uploaded_image1_1768887074.jpg
Berger Allemand ,250 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5727097_uploaded_image1_1768728630.jpg
Bichon,200 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5727093_uploaded_image1_1768728563.jpg
 Chiots Berger Allemand,180,"Guediawaye, Sénégal",https://images.coinafrique.com/thumb_5724820_uploaded_image1_1768584135.jpg
Chiot Husky femelle,350 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5715193_uploaded_image1_1768132975.jpg
Chiot Bichon Maltais,150 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5713394_uploaded_image1_1768013303.jpg
Berger Allemand ,450 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5711909_uploaded_image1_1767945597.jpg
Chiot Husky ,250 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5708534_uploaded_image1_1767798650.jpg
Métisse  rock belger ,75 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5707420_uploaded_image1_1767744364.jpg
Chiots Berger Malinois X,200 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5701157_uploaded_image1_1767442861.jpg
Chiots malinois,280 000,"Rufisque, Sénégal",https://images.coinafrique.com/thumb_5699953_uploaded_image1_1767376903.jpg
Berger Allemand ,200 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5697068_uploaded_image1_1767154390.jpg
Chiot malinois,250,"Thies, Sénégal",https://images.coinafrique.com/thumb_5690476_uploaded_image1_1766764470.jpg
Chiot Labrador,250 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5672239_uploaded_image1_1765736340.jpg
Chiots Dogue Argentin,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5671568_uploaded_image1_1765675623.jpg
Chiots Rottweiler ,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5671567_uploaded_image1_1765675459.jpg
Chiots Husky ,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5671564_uploaded_image1_1765675272.jpg
Chiots Spizt ,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5671563_uploaded_image1_1765674976.jpg
Chiots labradors,300 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5667947_uploaded_image1_1765469989.jpg
Chiot Husky ,350 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5664078_uploaded_image1_1765299555.jpg
Berger malinois charbonner,250,"Thies, Sénégal",https://images.coinafrique.com/thumb_5649558_uploaded_image1_1764572984.jpg
Chiot Bichon Maltais,100 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5644579_uploaded_image1_1764272051.jpg
Chiots Labradors Retriever ,300 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5640905_uploaded_image1_1764096718.jpg
Chiot Malinois ,200 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5628892_uploaded_image1_1763507006.jpg
Chiot Berger Malinois ,150 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5628715_uploaded_image1_1763500388.jpg
Parfum Presa Canario,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5617572_uploaded_image1_1762928156.jpg
Chiot Malinois ,125 000,"Mbao, Dakar, Sénégal",https://images.coinafrique.com/thumb_5616738_uploaded_image1_1762882607.jpg
Chiots Border Collie,140 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5616729_uploaded_image1_1762882207.jpg
Berger Belge Malinois,Prix sur demande,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5616008_uploaded_image1_1762860338.jpg
Chiot,60 000,"Dieuppeul-Derklé, Dakar, Sénégal",https://images.coinafrique.com/thumb_5613212_uploaded_image1_1762713775.jpg
Chiot Pitbull Tricolor,120 000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5610458_uploaded_image1_1762521942.jpg
Chiot Labrador,400 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5603738_uploaded_image1_1762199868.jpg
Chiot Bichon maltais ,125 000,"Mariste, Dakar, Sénégal",https://images.coinafrique.com/thumb_5601862_uploaded_image1_1762106679.jpg
Chiot Pitbull,Prix sur demande,"Hann Bel-Air, Dakar, Sénégal",https://images.coinafrique.com/thumb_5599056_uploaded_image1_1761928314.jpg
Chiot American ,170,"Thies, Sénégal",https://images.coinafrique.com/thumb_5579814_uploaded_image1_1760778039.jpg
Chiot Berger Allemand ,250 000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5575546_uploaded_image1_1760547251.jpg
Bichon Maltais frisé ,150 000,"Mermoz-Sacré Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5572179_uploaded_image1_1760379385.jpg
Chiot Presa Canario,650 000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5565180_uploaded_image1_1759957391.jpg
Chiot Berger Allemand ,300 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5563010_uploaded_image1_1759844917.jpg
Chiot Husky Sibérien vacciné,400 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5560240_uploaded_image1_1759709034.jpg
Chiots Berger Allemand ,130 000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5560003_uploaded_image1_1759693627.jpg
Chiot Labrador,450 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5550994_uploaded_image1_1759258475.jpg
Chiot Golden Retriever,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5540468_uploaded_image1_1758664107.jpg
Chiot Bichon nain,200 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5530652_uploaded_image1_1758128841.jpg
Husky pur sang femelle,250 000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5528570_uploaded_image1_1758035685.jpg
Chiot pitbull,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5528346_uploaded_image1_1758029532.jpg
Chiot pitbull,100 000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5528337_uploaded_image1_1758029337.jpg
Chiot Boerboel,375 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5524708_uploaded_image1_1757840142.jpg
Chiot  Husky ,350 000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5524610_uploaded_image1_1757831632.jpg
Chiot Rottweiler,250 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5524392_uploaded_image1_1757805590.jpg
Chiot Bichon,200 000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5521237_uploaded_image1_1757636811.jpg
Chiot ,100 000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5516813_uploaded_image1_1757429045.jpg
Chiot Pitbull,150,"Thies, Sénégal",https://images.coinafrique.com/thumb_5512296_uploaded_image1_1757182867.jpg
Chiot Berger allemand ,350 000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5507784_uploaded_image1_1756958536.jpg
Chiot Malinois ,250,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5506845_uploaded_image1_1756907976.jpg
Chiots Bichons Havanais,130 000,"Ouakam, Dakar, Sénégal",https://images.coinafrique.com/thumb_5498808_uploaded_image1_1756485463.jpg
Chiots Berger Allemand ,200 000,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5492262_uploaded_image1_1756135491.jpg
Chiots Berger Allemand ,Prix sur demande,"Thies, Sénégal",https://images.coinafrique.com/thumb_5491012_uploaded_image1_1756047419.jpg
Chiot Berger allemand grand gabarit,350 000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5490358_uploaded_image1_1755989245.jpg
Chiots Labradors ,300 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5489586_uploaded_image1_1755947226.jpg
Chiots Labradors,300 000,"Guediawaye, Dakar, Sénégal",https://images.coinafrique.com/thumb_5489540_uploaded_image1_1755946028.jpg
Chien  bichons,450 000,"Dakar Plateau, Dakar, Sénégal",https://images.coinafrique.com/thumb_5489184_uploaded_image1_1755926050.jpg
Chiots Berger Allemand ,350 000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5487110_uploaded_image1_1755815195.jpg
Chiot Rottweiler,400 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5486097_uploaded_image1_1755778960.jpg
Bichon noir,130 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5482763_uploaded_image1_1755623884.jpg
Chiot Rottweiler ,300 000,"Pikine, Sénégal",https://images.coinafrique.com/thumb_5480457_uploaded_image1_1755508783.jpg
Chiot Bichon ,200 000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5474603_uploaded_image2_1755135509.jpeg
bichons mâle ,150 000,"Dakar, Sénégal",https://images.coinafrique.com/thumb_5431028_uploaded_image1_1752941357.jpg
Chiot Malinois ,250 000,"Sipres, Dakar, Sénégal",https://images.coinafrique.com/thumb_5468013_uploaded_image1_1754773485.jpg
Chiot Berger allemand,250 000,"Sacré-Coeur, Dakar, Sénégal",https://images.coinafrique.com/thumb_5467125_uploaded_image1_1754733559.jpg
Chiots Berger Allemand ,150 000,"Saint Louis, Sénégal",https://images.coinafrique.com/thumb_5466408_uploaded_image1_1754682101.jpg
Chat siamois,100 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5465444_uploaded_image1_1754649176.jpg
Chiot Hamster syrien,5 000,"Almadies, Dakar, Sénégal",https://images.coinafrique.com/thumb_5465432_uploaded_image1_1754648750.jpg
Chiots Spizt ,Prix sur demande,"Almadies 2, Dakar, Sénégal",https://images.coinafrique.com/thumb_5464950_uploaded_image1_1754612259.jpg
Chiots Berger ,150 000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5463591_uploaded_image1_1754561119.jpg
Chiots Berger allemend ,150 000,"Thies, Sénégal",https://images.coinafrique.com/thumb_5463584_uploaded_image1_1754560979.jpg
Chiots,150 000,"Diamniadio, Sénégal",https://images.coinafrique.com/thumb_5782568_uploaded_image1_1771523397.jpg
Berger Belge Malinois,250 000,"Sicap Liberté, Dakar, Sénégal",https://images.coinafrique.com/thumb_5777856_uploaded_image1_1771313983.jpg
